id,question,A,B,C,Answerkey
1,How's the weather?,It's sunny.,I'm happy.,"Yes, it is.",A
2,Is it cold today?,It's windy.,"No, I'm not.","Yes, it is.",C
3,Are you thirsty?,"No, I don't.","Yes, I am.",He is tired.,B
4,Is she tired?,"No, she don't.","Yes, she is.","Yes, I am.",B
5,What are these?,It's an orange.,They're apple.,They're oranges.,C
6,Do you like apples?,"Yes, I am.","No, I'm not.","Yes, I do.",C
7,What are those?,They're bananas.,I like bananas.,It's a banana.,A
8,Do you like watermelons?,"No, I'm not.","Yes, I am.","No, I don't.",C
9,Do you want some juice?,"Yes, you do.","Yes, I do.","No, I'm not.",B
10,What do you want?,"Yes, I do.",I want some rice.,I want a rice.,B
11,How's the weather?,It's rainy.,It's the sun.,It's rain.,A
12,What time is it?,It's four o'clock.,I'm four.,It's four thirty o'clock.,A
13,What time is it?,It's seven thirty.,It's seven thirty o'clock.,It seven thirty.,A
14,What time is it?,It's twelve forty-five.,It's twelve forty-five o'clock.,I'm twelve.,A
15,Where's my blue pen?,They're on the desk.,It's on the desk.,It's a blue pen.,B
16,What are you doing?,I'm write.,I writing.,I'm writing.,C
17,What's he doing?,He is swim.,He's swimming.,He swimming.,B
18,What's she doing?,She reading.,She's reading.,She is read.,B
19,Where are you?,I'm at bedroom.,I'm on the bedroom.,I'm in the bedroom.,C
20,Where's Teddy?,He's in dining room.,He's in the dining room.,It's in the dining room.,B
21,Where is your grandma?,He's in the bathroom.,She's eating.,She's in the kitchen.,C
22,Is your father cooking in the kitchen?,"Yes, he's.","Yes, he is.","Yes, he does.",B
23,Where's the bag?,It's under the desk.,It's under desk.,They're under the desk.,A
24,Where is the cat?,It's a cat.,"Yes, it's under the table.",It's under the table.,C
25,Is he in the yard?,"Yes, I am.","No, she isn't.","Yes, he is.",C
26,How's the weather?,"Yes, it is.",It's sunny.,I'm happy.,B
27,Is it cold today?,"Yes, it is.","No, I'm not.",It's windy.,A
28,Are you thirsty?,"Yes, I am.",He is tired.,"No, I don't.",A
